[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 420, 400][1, 420, 400][1, 420, 400][1, 420, 400]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[1, 420, 400][1, 420, 400][1, 420, 400][1, 420, 400]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[1, 420, 400][1, 420, 400][1, 420, 400][1, 420, 400]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[1, 420, 400][1, 420, 400][1, 420, 400][1, 420, 400]
[1, 420, 400][1, 420, 400][1, 420, 400][1, 420, 400]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 420, 400][1, 420, 400][1, 420, 400][1, 420, 400]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 500, 350][0, 500, 350][0, 500, 350][0, 500, 350]
[0, 420, 400][0, 420, 400][0, 420, 400][0, 420, 400]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 350, 450][0, 350, 450][0, 350, 450][0, 350, 450]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 420, 400][1, 420, 400][1, 420, 400][1, 420, 400]
[1, 350, 450][1, 350, 450][1, 350, 450][1, 350, 450]
[0, 0, 0][0, 0, 0][0, 0, 0][0, 0, 0]
[1, 500, 350][1, 500, 350][1, 500, 350][1, 500, 350]
